| idx | angle (deg) | strain   | atoms | surf_ratio |  idx1  |  idx2  |
| 310 |    21.7860 | 0.348885 |    22 |   4/7   |   5, -3 |   7, -5 |
| 311 |    21.7830 | 0.377251 |    32 |   6/10  |   4,-10 |   3, -9 |
| 312 |    21.7820 | 0.423134 |    28 |   5/9   |   5, -8 |   5, -7 |
| 313 |    21.7830 | 0.454016 |    58 |  10/19  |   2,-10 |   1,-10 |
| 314 |    21.7830 | 0.474781 |    42 |   8/13  |   6, -8 |   5, -8 |
| 315 |    21.7810 | 0.507564 |    38 |   7/12  |   6, -7 |   5, -7 |
| 316 |    21.7840 | 0.571979 |     6 |   1/2   |   1, -2 |   4, -7 |
| 317 |    21.7800 | 0.592818 |    32 |   6/10  |   3,-10 |   3, -8 |
| 318 |    21.7800 | 0.858890 |    20 |   3/7   |   3, -9 |   3, -8 |
| 319 |    21.7830 | 1.395540 |    16 |   2/6   |   2,-10 |   2, -9 |
| 320 |    21.7830 | 1.858855 |    10 |   3/2   |   3,-10 |   3, -9 |
| 321 |    21.7830 | 4.230985 |    12 |   1/5   |   1, -9 |   1,-10 |
| 322 |    21.7830 | 4.377799 |    10 |   2/3   |   6, -8 |   5, -7 |
